,,,,,,,,,,,,,,,
?  KAIZEN EXPONENTIAL ECOSYSTEM  |  MBB 360� TRANSFORMATION COMMAND CENTER,,,,,,,,,,,,,,,
LEAN SIX SIGMA  �  MASTER BLACK BELT  �  GLOBAL MINDSET  �  CONTINUOUS IMPROVEMENT AT SCALE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
<div id="sync-status-bar" style="text-align: center; background: #1a1a1a; padding: 10px; border-bottom: 2px solid #ffd700;">
  <span style="color: #00ff00; font-weight: bold;">● LIVE SYSTEM</span> 
  <span style="color: white; margin-left: 15px;">LAST SYNC: </span>
  <span id="lastUpdated" style="color: #ffd700; font-weight: bold;">Initializing...</span>
</div>
,SIGMA LEVEL,,,COST SAVINGS YTD,,,ACTIVE KAIZENS,,,TEAM ENGAGEMENT,,,,,
,4.8?,,,"$2,100,000",,,12,,,87%,,,,,
,Current Performance,,,Hard + Soft Combined,,,Events In Progress,,,Post-Coaching Score,,,,,
,? +0.5? from baseline,,,? +34% vs. prior year,,,? 3 new this sprint,,,? +12% improvement,,,,,
,,,,,,,,,,,,,,,
  ?  DMAIC PHASE TRACKER,,,,,,,,,,,,,,,
,PHASE,DEFINE,,MEASURE,,ANALYZE,,IMPROVE,,CONTROL,,,,,
,1 - Define,"Project Charter
VOC/CTQ
SIPOC
Stakeholder Map",,,,,,,,,,Complete ?,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,2 - Measure,"Gage R&R
Process Capability
Data Collection Plan",,,,,,,,,,In Progress,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,3 - Analyze,"Fishbone / 5 Why
Regression
DOE
Pareto Analysis",,,,,,,,,,In Progress,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,4 - Improve,"Kaizen Events
5S / SMED / TPM
Poka-Yoke
Pilot Plan",,,,,,,,,,Planned,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,5 - Control,"Control Plan
SPC Charts
Standard Work
FMEA",,,,,,,,,,Planned,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
  ?  BALANCED SCORECARD � GLOBAL PERFORMANCE,,,,,,,,,,,,,,,
,DIMENSION,,CURRENT,,TARGET,,GAP,,TREND,,RATING,,,,
,Quality,,88%,,95%,,-7%,,? Improving,,??,,,,
,Delivery,,76%,,90%,,-14%,,? Improving,,??,,,,
,Cost,,82%,,90%,,-8%,,? Stable,,??,,,,
,Safety,,94%,,98%,,-4%,,? Improving,,??,,,,
,People,,71%,,85%,,-14%,,? At Risk,,??,,,,
,Innovation,,65%,,80%,,-15%,,? Growing,,??,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

